2026Menu,NFL,NBA,NCAAF,NCAAM,Soccer,MMA,Watch,Listen,Fantasy,20,20,Appalachian State,Mountaineers,
2026,
2026,Home,Schedule,Statistics,Roster,Tickets,
2026,Name,POS,HT,WT,Class,Hometown,
2026,David Baldwin-Griffin15,15,QB,6&#x27; 4&quot;,6274,230 lbs,230,FR,Compton, CA,
2026,Jackson Gibbs9,9,QB,6&#x27; 1&quot;,6271,195 lbs,195,SO,Davidson, NC,
2026,Jacob Huesman7,7,QB,6&#x27; 3&quot;,6273,205 lbs,205,JR,Bradenton, FL,
2026,Zac Thomas12,12,QB,6&#x27; 1&quot;,6271,210 lbs,210,JR,Trussville, AL,
2026,Tanner Wilson10,10,QB,6&#x27; 2&quot;,6272,225 lbs,225,SO,Reidsville, NC,
2026,Nakendrick Clark27,27,RB,5&#x27; 9&quot;,5279,195 lbs,195,JR,Statesville, NC,
2026,Darrynton Evans3,3,RB,5&#x27; 11&quot;,52711,200 lbs,200,JR,Oak Hill, FL,
2026,Daetrich Harrington4,4,RB,6&#x27; 0&quot;,6270,195 lbs,195,SO,Douglasville, GA,
2026,Gabe Montgomery45,45,RB,5&#x27; 8&quot;,5278,205 lbs,205,SO,Charlotte, NC,
2026,Camerun Peoples6,6,RB,6&#x27; 2&quot;,6272,210 lbs,210,FR,Lineville, AL,
2026,Ben Williams24,24,RB,5&#x27; 10&quot;,52710,185 lbs,185,FR,Charlotte, NC,
2026,Marcus Williams Jr.26,26,RB,5&#x27; 10&quot;,52710,205 lbs,205,JR,Rocky Mount, NC,
2026,Raykwon Anderson22,22,WR,5&#x27; 9&quot;,5279,180 lbs,180,FR,Folkston, GA,
2026,Dashaun Davis17,17,WR,5&#x27; 9&quot;,5279,160 lbs,160,FR,Deerfield Beach, FL,
2026,Chase Eighmy89,89,WR,6&#x27; 2&quot;,6272,205 lbs,205,FR,Waxhaw, NC,
2026,AJ Hall80,80,WR,6&#x27; 1&quot;,6271,200 lbs,200,FR,Kernersville, NC,
2026,Thomas Hennigan5,5,WR,6&#x27; 1&quot;,6271,205 lbs,205,JR,Greensboro, NC,
2026,Jake Henry83,83,WR,5&#x27; 11&quot;,52711,180 lbs,180,SO,Cantonment, FL,
2026,Sean Horton20,20,WR,6&#x27; 1&quot;,6271,185 lbs,185,FR,Holly Springs, NC,
2026,Elijah Johnson35,35,WR,5&#x27; 11&quot;,52711,175 lbs,175,FR,Cornelius, NC,
2026,Michael Queen85,85,WR,6&#x27; 1&quot;,6271,200 lbs,200,JR,Apex, NC,
2026,Dysaun Razzak21,21,WR,5&#x27; 7&quot;,5277,155 lbs,155,FR,Kernersville, NC,
2026,Corey Xavier Sutton2,2,WR,6&#x27; 3&quot;,6273,200 lbs,200,JR,Cornelius, NC,
2026,Richard Tucker82,82,WR,6&#x27; 0&quot;,6270,180 lbs,180,FR,Campobello, SC,
2026,Jalen Virgil11,11,WR,6&#x27; 1&quot;,6271,210 lbs,210,JR,Lawrenceville, GA,
2026,Keishawn Watson13,13,WR,5&#x27; 11&quot;,52711,185 lbs,185,SR,Wheaton, IL,
2026,Christian Wells16,16,WR,5&#x27; 11&quot;,52711,170 lbs,170,FR,Fort Lauderdale, FL,
2026,Malik Williams14,14,WR,5&#x27; 10&quot;,52710,180 lbs,180,JR,Chester, SC,
2026,Mike Evans18,18,TE,6&#x27; 3&quot;,6273,240 lbs,240,JR,Jacksonville, NC,
2026,Miller Gibbs81,81,TE,6&#x27; 4&quot;,6274,220 lbs,220,FR,Davidson, NC,
