name,faceSrc,team,position,age,height,number,rating
David Baldwin-Griffin,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4426615.png&w=150,2026,0,18,6"4',15,60
Jackson Gibbs,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4249121.png&w=150,2026,0,19,6"1',9,60
Jacob Huesman,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4036427.png&w=150,2026,0,20,6"3',7,66
Zac Thomas,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4036429.png&w=150,2026,0,20,6"1',12,80
Tanner Wilson,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4245487.png&w=150,2026,0,19,6"2',10,60
Nakendrick Clark,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4373564.png&w=150,2026,1,20,5"9',27,66
Darrynton Evans,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4036431.png&w=150,2026,1,20,5"11',3,86
Daetrich Harrington,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4241002.png&w=150,2026,1,19,6"0',4,70
Gabe Montgomery,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4247136.png&w=150,2026,1,19,5"8',45,65
Camerun Peoples,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360765.png&w=150,2026,1,18,6"2',6,65
Ben Williams,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4575398.png&w=150,2026,1,18,5"10',24,60
Marcus Williams Jr.,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4036436.png&w=150,2026,1,20,5"10',26,74
Raykwon Anderson,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4426567.png&w=150,2026,3,18,5"9',22,60
Dashaun Davis,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4427037.png&w=150,2026,3,18,5"9',17,60
Chase Eighmy,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4376382.png&w=150,2026,3,18,6"2',89,60
AJ Hall,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4373569.png&w=150,2026,3,18,6"1',80,60
Thomas Hennigan,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4241004.png&w=150,2026,3,20,6"1',5,79
